titolo,titolo_en,indovinello,indovinello_en,risposta_corretta,risposta_corretta_en,risposte_alternative,risposte_alternative_en,suggerimento,suggerimento_en,difficolta,luogo_id,immagine_url,approfondimento,approfondimento_en,associazione,link_associazione,id,created_date,updated_date,created_by_id,created_by,is_sample
"L'ultima bandiera","","Guardando da Via Alloro verso l'albero di Piazza Marina vedrai tre bandiere: Europa, Italia e una terza. Qual è l'ultima bandiera che vedi andando verso la piazza?","","Palermo","","[""bandiera di Palermo"",""città di Palermo"",""comune di Palermo""]","[]","Magari non lo sai, ma questo edificio è una sede del Comune di Palermo, questo forse può aiutarti a capire quale istituzione rappresenta la bandiera","","facile","6932a2a1b7d9f92a1bc07c6a","","L'edificio su cui vedete le bandiere è oggi sede degli uffici del Centro Storico del Comune. Ha una storia che attraversa i secoli: nato nel '400 come due nuclei separati, fu unificato nel XVIII secolo dalla potente famiglia Palagonia. L'ultimo erede, Francesco Paolo Gravina, fu un uomo dalla straordinaria generosità: alla sua morte nel 1854, donò il palazzo all'Opera Pia da lui fondata per assistere i poveri. Il palazzo rischiò però di sparire per sempre: gravemente danneggiato dai bombardamenti della Seconda Guerra Mondiale, nel 1968 ne era stata persino prevista la demolizione per far posto a una nuova strada (la cosiddetta ""terza via""). Solo grazie al Piano di Recupero del 1993 il palazzo è stato salvato e restaurato tra il 1999 e il 2002. Le bandiere che sventolano oggi su Via Alloro non rappresentano solo l'istituzione comunale, ma il trionfo della conservazione storica su un destino di distruzione.","","","","693d3cb41f3b08543deaec11","2025-12-13T10:15:16.590000","2025-12-13T10:15:16.590000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Lo scultore della Santa","","In una via che unisce Piazza Borsa e via Roma c'è un'edicola dedicata a Santa Rosalia. Chi è l'artista indicato sulla scultura?","","Filippo Leto","","[""Leto"",""F. Leto""]","[]","Le edicole votive sono piccoli monumenti religiosi nati dalla volontà di privati cittadini per ringraziare un santo (un ""ex-voto"") o per invocare protezione su una strada o una famiglia. Nel passato, avevano anche una funzione pratica fondamentale: prima dell'avvento dell'illuminazione elettrica, le lampade a olio sempre accese davanti ai santi erano l'unica fonte di luce nei vicoli bui della Kalsa, rendendo le strade più sicure. A Palermo se ne contano centinaia, dedicate soprattutto alla Santuzza (Rosalia), alle Anime del Purgatorio o alla Madonna. Esse rappresentano un confine sottile tra sacro e profano: sono piccoli ""altari di strada"" curati ancora oggi dagli abitanti del quartiere con fiori freschi e decorazioni, testimoniando un legame indissolubile tra la fede e la vita quotidiana dei vicoli.
Filippo Leto è un artista contemporaneo che ha donato la sua scultura a seguito del furto di quella precedente nella stessa edicola
","","media","6932a2a1b7d9f92a1bc07c6a","","Le edicole votive sono piccoli monumenti religiosi nati dalla volontà di privati cittadini per ringraziare un santo (un ""ex-voto"") o per invocare protezione su una strada o una famiglia. Nel passato, avevano anche una funzione pratica fondamentale: prima dell'avvento dell'illuminazione elettrica, le lampade a olio sempre accese davanti ai santi erano l'unica fonte di luce nei vicoli bui della Kalsa, rendendo le strade più sicure. A Palermo se ne contano centinaia, dedicate soprattutto alla Santuzza (Rosalia), alle Anime del Purgatorio o alla Madonna. Esse rappresentano un confine sottile tra sacro e profano: sono piccoli ""altari di strada"" curati ancora oggi dagli abitanti del quartiere con fiori freschi e decorazioni, testimoniando un legame indissolubile tra la fede e la vita quotidiana dei vicoli.","","","","693d3cb41f3b08543deaec1f","2025-12-13T10:15:16.590000","2025-12-13T15:33:29.965000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"La saggezza sopra la porta","","In Piazza Magione, sopra una porta del convento della Sapienza, c'è una scritta latina. Scrivi senza spazi la 3ª, 5ª e 8ª lettera della prima parola.","","pie","","[""p-i-e"",""PIE""]","[]","La prima parola è SAPIENTIA. Estrai le lettere nelle posizioni indicate.","","media","6932a2a1b7d9f92a1bc07c6a","","Piazza Magione non è nata come una piazza, ma è il risultato di una ferita urbana mai rimarginata. Fino alla Seconda Guerra Mondiale, quest'area era un fitto reticolo di case e vicoli medievali. Dopo i bombardamenti, per decenni si cercò di realizzare la ""Via del Porto"", un'autostrada urbana che avrebbe dovuto sventrare il quartiere per collegare la Cala all'Oreto. I lavori si fermarono negli anni '60 proprio davanti al Convento della Sapienza, lasciando per anni un deserto di macerie e asfalto. Solo nel 2000, in occasione della Conferenza ONU contro la criminalità, l'area è stata trasformata: scavando sotto le macerie sono riaffiorati gli antichi ciottoli dell'800 e i tracciati delle vecchie strade. Invece di ricostruire, si è scelto di lasciare i prati dove un tempo c'erano i palazzi, creando un ""giardino della memoria"". Il Convento della Sapienza, che oggi sembra isolato al centro della piazza, è l'ultimo testimone rimasto in piedi di quel tessuto antico scomparso.","","Santa Maria della Sapienza","","693d3cb41f3b08543deaec17","2025-12-13T10:15:16.590000","2025-12-13T10:15:16.590000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"I gradini dell'Elleno","","In un vicolo, forse nato ad Atene in uno dei suoi estremi c'è da fare dei gradini. Quanti sono?","","tre","","[""3"",""III""]","[]","Da Via del Quatto Aprile cerca Vicolo Greco. È una stradina piccola, conta i gradini che trovi!","","media","6932a2a1b7d9f92a1bc07c6a","","Secondo il dizionario toponomastico di Palermo di Mario Di Liberto, questo vicolo prende il nome dal Marchese Giuseppe Greco, che nel 1760 acquistò il palazzo adiacente. La storia di questo luogo è sorprendente: nel 1838 il palazzo ospitò l'Albion Hôtel, dove soggiornarono personalità illustri come lo statista inglese William Gladstone e il ""re poeta"" Luigi I di Baviera. Successivamente divenne l'Albergo Italia prima di essere venduto al Banco di Sicilia. I tre gradini che i partecipanti devono contare non sono solo un ostacolo fisico, ma segnano l'accesso a un vicolo che un tempo era il passaggio per re e ministri europei che venivano a Palermo per ammirare la bellezza della Kalsa.","","","","693d3cb41f3b08543deaec08","2025-12-13T10:15:16.590000","2025-12-13T16:33:14.147000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"I salvatori nel marmo","","In Via Alloro c'è un monumento che è una storia di salvezza. Trovalo e scrivi i primi nomi (Nome e Cognome) incisi nel marmo in alto.","","Gaspare Bivona e Filippo Patti","","[""Bivona e Patti"",""Gaspare e Filippo""]","[]","Cerca il monumento accanto all'omonimo vicolo e leggi le incisioni superiori.","","media","6932a2a1b7d9f92a1bc07c6a","","Questo monumento ricorda un episodio incredibile avvenuto nell'aprile del 1860, durante la rivolta della Gancia contro i Borboni. Due patrioti, Gaspare Bivona e Filippo Patti, per sfuggire alla cattura dei soldati borbonici che avevano represso l'insurrezione nel sangue, riuscirono a nascondersi per ben cinque giorni in un cunicolo sotterraneo, proprio sotto il pavimento della chiesa della Gancia.  Mentre i soldati davano loro la caccia, le donne del quartiere misero in atto un piano geniale per salvarli: iniziarono a litigare e urlare proprio sopra il punto in cui erano nascosti, per coprire il rumore che i due facevano scavando un foro verso l'esterno. Attraverso quel piccolo buco (la ""buca"" che si vede ancora oggi), i residenti riuscirono a passare loro acqua e cibo. Alla fine, simulando il passaggio di un carro di letame per coprire l'odore e i movimenti, i due furono estratti e portati in salvo. Oggi la targa in marmo e la piccola apertura nel muro testimoniano come l'ingegno popolare e la voglia di libertà siano stati più forti di un intero esercito.","","","","693d3cb41f3b08543deaec19","2025-12-13T10:15:16.590000","2025-12-13T15:57:16.396000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Lo stemma del Regno","","Sopra il portale d'ingresso della Chiesa della Magione, cosa dice la scritta posta sopra lo stemma?","","del Regno delle due Sicilie","","[""Regno delle due Sicilie""]","[]","Guarda in alto sopra l'arco d'ingresso principale della piazza.","","media","6932a2a1b7d9f92a1bc07c6a","","Fondata nel 1191 da Matteo d'Aiello, cancelliere del regno normanno, la Magione è l'ultima delle grandi chiese costruite durante l'età dei Re a Palermo. Il suo stile è inconfondibile: linee severe, pietre nude e le caratteristiche absidi con archi intrecciati che ricordano l'influenza della maestranze arabe. La sua storia è legata indissolubilmente ai Cavalieri Teutonici, un ordine monastico-militare tedesco che ne fece la propria ""casa"" (da qui il nome Magione) per oltre tre secoli, rendendola un centro di potere e assistenza per i pellegrini.  Nonostante i pesanti restauri seguiti ai bombardamenti del 1943, la chiesa ha conservato intatto il suo fascino spirituale. Un dettaglio imperdibile è il suo chiostro, un'oasi di pace con colonnine binate e capitelli decorati dove ancora oggi si respira l'atmosfera del medioevo. Lo stemma del Regno delle Due Sicilie che i partecipanti trovano sul portale è una traccia del passaggio della chiesa sotto il patronato dei Borboni nel XVIII secolo, a testimonianza di come questo luogo sia stato un punto fermo per ogni dinastia che ha governato la Sicilia.","","Chiesa della Magione","","693d3cb41f3b08543deaec1c","2025-12-13T10:15:16.590000","2025-12-13T10:15:16.590000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Il marmo della Gancia","","Nel Cortile della Gancia, accanto alla targa della via, c'è un marmo commemorativo. A chi è dedicato?","","Francesco Riso","","[""Riso"",""Francesco Riso patriota""]","[]","Cerca il marmo affisso accanto alla targa stradale del cortile.","","facile","6932a2a1b7d9f92a1bc07c6a","","Francesco Riso era un umile artigiano (un mastro stuccatore) che, animato da ideali di libertà, divenne il leader della cosiddetta Rivolta della Gancia. Il 4 aprile 1860, poco prima dell'arrivo di Garibaldi, Riso guidò un gruppo di patrioti in un'insurrezione armata contro le truppe borboniche proprio all'interno del convento della Gancia. La rivolta fu purtroppo scoperta e repressa nel sangue: Francesco Riso rimase gravemente ferito durante gli scontri e morì pochi giorni dopo in ospedale. Il suo sacrificio, però, non fu vano: la sua azione accese la miccia della resistenza in tutta la città, preparando il terreno per la liberazione di Palermo. La targa che i partecipanti devono trovare nel cortile è un omaggio al coraggio di un uomo del popolo che scelse di sfidare un impero per il sogno di un'Italia unita.","","Chiesa della Gancia","","693d3cb41f3b08543deaec1e","2025-12-13T10:15:16.590000","2025-12-13T15:35:21.579000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"La preghiera sui muri","","Nel Vicolo del Caccamo c'è un murale/collage con sopra una scritta in inglese. Cosa dice questa questa scritta?","","This is way we pray","","[""This is the way we pray""]","[]","Cerca il vicolo che collega Piazza Magione a Via Alloro. Il murale collage è lì sopra un pannello di legno vicino alla parete, leggi la scritta dall'inizio!","","facile","6932a2a1b7d9f92a1bc07c6a","","Il murale ""This is way we pray"" si staglia su una delle cornici più malinconiche e affascinanti di Palermo: il perimetro di Palazzo Bonagia. Un tempo considerato uno dei capolavori più splendidi del barocco siciliano, il palazzo fu quasi interamente distrutto dai bombardamenti del 1943. Uno degli elementi di maggior pregio dell'edificio è lo scalone monumentale marmoreo di Andrea Gigante. Sebbene l'interno sia inaccessibile, le sue mura esterne raccontano la ferita ancora aperta della guerra nel cuore della Kalsa. L'opera di street art in Vicolo del Caccamo agisce come un atto di devozione moderna, un ""modo di pregare"" che invita a guardare oltre il degrado per riconoscere la bellezza che resiste nel tempo.","","","","693d3cb41f3b08543deaec0f","2025-12-13T10:15:16.590000","2025-12-13T10:15:16.590000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Il Segreto del Foro","","C'è una fontana il cui nome fa immaginare un ippocampo, andando in loco però vedrai altre creature. Una di queste spruzza acqua. Di che tipo di animale si tratta?
","","pesce","","[""delfini"",""mostri marini""]","[]","Guarda alla base della statua del Cavallo Marino.","","difficile","6932a2a1b7d9f92a1bc07c6a","","Questa fontana, realizzata nel XVIII secolo dallo scultore Ignazio Marabitti, non è sempre stata qui: originariamente si trovava nel giardino di Palazzo Ajutamicristo, in via Garibaldi. Fu trasferita a Piazza Marina nel 1864 per abbellire il centro della piazza, proprio accanto al rigoglioso Giardino Garibaldi. La scultura rappresenta un maestoso cavallo marino che emerge dalle onde, cavalcato da un tritone e circondato da delfini e conchiglie.  A Palermo, il cavallo marino è un simbolo legato alla forza indomabile del mare, ma questa fontana è famosa anche per un aneddoto curioso: si dice che durante i bombardamenti della Seconda Guerra Mondiale sia rimasta quasi miracolosamente intatta mentre tutto intorno crollava. Oggi è il punto di ritrovo preferito dai palermitani e dai visitatori che frequentano il mercato dell'antiquariato della domenica, fungendo da cerniera tra la sontuosa architettura dei palazzi di Piazza Marina e la natura esotica del grande Ficus magnolioides poco distante.","","","","693d3cb41f3b08543deaec22","2025-12-13T10:15:16.590000","2025-12-14T12:46:53.051000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Il citofono anonimo","","A Palazzo Butera, l'ingresso del museo ha un elegante portale in legno con un citofono particolare: non ci sono nomi ma i pulsanti per citofonare non mancano. Quanti pulsanti conta questo citofono?","","sei","","[""6"",""VI""]","[]","In Via Butera cerca il palazzo museo. Il portale d'ingresso ha il citofono, conta i pulsanti!","","facile","6932a2a1b7d9f92a1bc07c6a","","Palazzo Butera è una delle dimore storiche più vaste e spettacolari di Palermo, con una facciata di ben 111 metri che domina le Mura delle Cattive e il mare. Originariamente residenza dei principi Branciforte di Butera, il palazzo ha vissuto un declino lunghissimo fino al 2016, quando è stato acquistato dai collezionisti Francesca e Massimo Valsecchi. I due hanno intrapreso un restauro colossale e interamente privato, trasformando il palazzo in un museo che ospita la loro prestigiosa collezione d’arte (con opere di Gilbert & George e Annibale Carracci). Un dettaglio magico è il corridoio che attraversa tutto il palazzo, creando un cannocchiale ottico tra i due ingressi. Il citofono a sei pulsanti dell'indovinello è la porta d'accesso a un mondo dove l'antico fasto dei baroni siciliani convive con l'arte contemporanea internazionale, offrendo una delle terrazze più belle del Mediterraneo.","","Fondazione Palazzo Butera","https://www.palazzobutera.it","693d3cb41f3b08543deaec0a","2025-12-13T10:15:16.590000","2025-12-13T15:41:51.822000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
